p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.000289230503543	0.0126472611095	Muscle contraction	Reactome	R-HSA-397014	SCN11A; TNNT2; KCNK9; KCNE4; CACNB1; SCN2A; SCN1B; ABCC9; MYBPC1; KCNIP3; SCN3A; TTN; TRIM72	7139; 30818; 4604; 11280; 51305; 493829; 6326; 10060; 23704; 7273; 6324; 782; 6328	174	174
0.000326053959969	0.0130693295621	Class B/2 (Secretin family receptors)	Reactome	R-HSA-373080	WNT2B; RAMP1; PTH2R; GNB3; GNGT1; UCN; CALCA; GIPR; CALCB	5746; 796; 2784; 10267; 7349; 2696; 2792; 7482; 797	91	91
0.000456815912272	0.0169021887541	Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	KEGG	path:hsa00980	CYP2C9; CYP1A1; GSTT2B; CYP2D7; CBR1; CYP2E1; AKR7L; AKR7A3	1543; 1559; 1564; 246181; 22977; 1571; 873; 653689	78	76
0.000567372370654	0.0194932935918	Interaction between L1 and Ankyrins	Reactome	R-HSA-445095	SCN11A; SPTBN5; SCN1B; SCN3A; SCN2A	6328; 51332; 6326; 11280; 6324	29	29
0.00079481949283	0.0254872117367	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	Reactome	R-HSA-381426	NOTUM; KLK13; VGF; SCG3; SCG2; BPIFB2; TF; ALB; PROC; CHGB	5624; 29106; 7018; 26085; 80341; 7425; 7857; 1114; 147111; 213	124	124
0.000907177238123	0.0264155448305	Activation of kainate receptors upon glutamate binding	Reactome	R-HSA-451326	GNGT1; GRIK1; GRIK3; GRIK5; GNB3	2897; 2901; 2784; 2899; 2792	32	32
0.000933605534548	0.0264155448305	Cardiac conduction	Reactome	R-HSA-5576891	SCN11A; KCNK9; KCNE4; CACNB1; SCN2A; SCN1B; ABCC9; KCNIP3; SCN3A	30818; 11280; 51305; 6326; 10060; 6328; 23704; 6324; 782	105	105
0.00106850584221	0.0277925383645	Post-translational protein phosphorylation	Reactome	R-HSA-8957275	NOTUM; ALB; VGF; SCG3; SCG2; BPIFB2; TF; PROC; CHGB	5624; 29106; 7018; 80341; 7425; 7857; 1114; 147111; 213	107	107
0.00115835687519	0.0277925383645	Unblocking of NMDA receptors, glutamate binding and activation	Reactome	R-HSA-438066	GRIA3; CAMK2B; GRIN2D; NEFL	2906; 2892; 816; 4747	20	20
0.00118328987199	0.0277925383645	Peptide hormone metabolism	Reactome	R-HSA-2980736	CGA; PCSK1; CPB1; POMC; ACHE; AGT	5122; 1081; 43; 5443; 183; 1360	50	50
0.00128525354135	0.0277925383645	ADORA2B mediated anti-inflammatory cytokines production	Reactome	R-HSA-9660821	CGA; RLN3; RAMP1; PTH2R; GNB3; GNGT1; POMC; CALCA; GIPR; CALCB	5746; 796; 2784; 10267; 1081; 5443; 2696; 2792; 797; 117579	132	132
0.00130845676135	0.0277925383645	GABAergic synapse - Homo sapiens (human)	KEGG	path:hsa04727	HAP1; KCNJ6; SLC38A3; GABRR2; GABRP; GNB3; GNGT1; GABBR2	2568; 2570; 3763; 2784; 2792; 10991; 9001; 9568	89	89
0.00137907903833	0.0277925383645	Inwardly rectifying K+ channels	Reactome	R-HSA-1296065	GNGT1; GABBR2; ABCC9; GNB3; KCNJ6	2784; 9568; 10060; 3763; 2792	35	35
0.00144451862601	0.0277925383645	Calcitonin-like ligand receptors	Reactome	R-HSA-419812	CALCA; CALCB; RAMP1	796; 10267; 797	10	10
0.00144451862601	0.0277925383645	Peptide hormone biosynthesis	Reactome	R-HSA-209952	CGA; PCSK1; POMC	5443; 1081; 5122	10	10
0.0016700276413	0.030895511364	Glutamatergic synapse - Homo sapiens (human)	KEGG	path:hsa04724	GRIN2D; SLC38A3; GRIA3; GRIK3; GRIK5; GNB3; GNGT1; GRIK1; SLC1A7	2784; 2792; 2892; 2897; 2899; 2901; 2906; 6512; 10991	114	114
0.0017808038556	0.0317246909091	Formation of Fibrin Clot (Clotting Cascade)	Reactome	R-HSA-140877	SERPINA5; PROC; CD177; KLKB1; F7	2155; 5624; 3818; 57126; 5104	37	37
0.00195112080181	0.0335174680597	Highly calcium permeable postsynaptic nicotinic acetylcholine receptors	Reactome	R-HSA-629594	CHRNA5; CHRNA9; CHRNA3	55584; 1138; 1136	11	11
0.00233656120114	0.0387546875085	G alpha (s) signalling events	Reactome	R-HSA-418555	CGA; RLN3; RAMP1; PTH2R; GNB3; GNGT1; POMC; CALCA; GIPR; CALCB	5746; 796; 2784; 10267; 1081; 5443; 2696; 2792; 797; 117579	143	143
0.00255558630488	0.0396528068595	Activation of Ca-permeable Kainate Receptor	Reactome	R-HSA-451308	GRIK1; GRIK3; GRIK5	2901; 2899; 2897	12	12
0.00255558630488	0.0396528068595	Ionotropic activity of kainate receptors	Reactome	R-HSA-451306	GRIK1; GRIK3; GRIK5	2901; 2899; 2897	12	12
0.00271163382464	0.0401167723176	GPCR downstream signalling	Reactome	R-HSA-388396	TAS2R20; LTB4R; RLN3; GABBR2; AGT; GIPR; CGA; PTGER1; GAL; CASR; KISS1R; KISS1; RAMP1; PTH2R; GNB3; NPFFR1; CAMK2B; POMC; FFAR2; ADRA1D; SST; DRD4; OPRD1; GNGT1; TAS1R1; CALCA; CALCB	2784; 4985; 816; 146; 797; 259295; 5746; 846; 3814; 64106; 6750; 2792; 1815; 1241; 51083; 1081; 9568; 2867; 183; 796; 80835; 10267; 84634; 5443; 2696; 5731; 117579	633	633
0.00275229415068	0.0401167723176	Assembly and cell surface presentation of NMDA receptors	Reactome	R-HSA-9609736	LIN7A; NEFL; CAMK2B; GRIN2D	8825; 4747; 2906; 816	25	25
0.00315259875086	0.0445999999754	Binding and Uptake of Ligands by Scavenger Receptors	Reactome	R-HSA-2173782	ALB; HP; HPX; AMBP; HBA2	3263; 259; 3240; 213; 3040	42	42
0.0032920908703	0.0452427345318	Signaling by GPCR	Reactome	R-HSA-372790	TAS2R20; LTB4R; RLN3; GABBR2; AGT; GIPR; CGA; PTGER1; GAL; CASR; UCN; WNT2B; KISS1R; KISS1; RAMP1; PTH2R; GNB3; NPFFR1; CAMK2B; POMC; FFAR2; ADRA1D; SST; DRD4; OPRD1; GNGT1; TAS1R1; CALCA; CALCB	2784; 4985; 7349; 816; 146; 259295; 5746; 846; 797; 3814; 64106; 6750; 2792; 2867; 1815; 51083; 1081; 1241; 9568; 183; 796; 80835; 10267; 84634; 5443; 2696; 5731; 7482; 117579	706	706
0.00349868252139	0.0467462859108	Voltage gated Potassium channels	Reactome	R-HSA-1296072	KCNG1; KCNH7; KCNC1; KCNAB3; KCNS2	9196; 3755; 3746; 3788; 90134	43	43
0.00408068202522	0.0516528435298	Postsynaptic nicotinic acetylcholine receptors	Reactome	R-HSA-622327	CHRNA5; CHRNA9; CHRNA3	55584; 1138; 1136	14	14
0.00408068202522	0.0516528435298	Acetylcholine binding and downstream events	Reactome	R-HSA-181431	CHRNA5; CHRNA9; CHRNA3	55584; 1138; 1136	14	14
0.00421059499984	0.0519306716647	Phototransduction - Homo sapiens (human)	KEGG	path:hsa04744	CALML3; GRK1; GNGT1; GUCA1B	2979; 2792; 6011; 810	29	28
0.00479351062051	0.052401786556	Synthesis of PC	Reactome	R-HSA-1483191	ACHE; CPT1B; CHKB; CHAT	1103; 1375; 43; 1120	29	29
0.00479351062051	0.052401786556	Activation of G protein gated Potassium channels	Reactome	R-HSA-1296041	GNGT1; GABBR2; KCNJ6; GNB3	2784; 9568; 3763; 2792	29	29
0.00479351062051	0.052401786556	G protein gated Potassium channels	Reactome	R-HSA-1296059	GNGT1; GABBR2; KCNJ6; GNB3	2784; 9568; 3763; 2792	29	29
0.00479351062051	0.052401786556	Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits	Reactome	R-HSA-997272	GNGT1; GABBR2; KCNJ6; GNB3	2784; 9568; 3763; 2792	29	29
0.00479351062051	0.052401786556	Dectin-2 family	Reactome	R-HSA-5621480	MUC3A; CLEC4E; MUC6; MUC4	4588; 26253; 4585; 4584	29	29
0.0054596493531	0.0583575853076	Serotonin and melatonin biosynthesis	Reactome	R-HSA-209931	DDC; TPH1	1644; 7166	5	5
0.00595133996964	0.0612587825798	cAMP signaling pathway - Homo sapiens (human)	KEGG	path:hsa04024	GRIA3; CGA; SST; CAMK2B; CALML3; CNGA3; MAPK10; GRIN2D; POMC; FFAR2; GIPR; GABBR2	1081; 6750; 2696; 1261; 810; 816; 2867; 5443; 2892; 2906; 9568; 5602	216	216
0.00605927625171	0.0612587825798	Metabolism of amine-derived hormones	Reactome	R-HSA-209776	DDC; TPH1; SLC5A5	6528; 1644; 7166	16	16
0.00611314254435	0.0612587825798	Amphetamine addiction - Homo sapiens (human)	KEGG	path:hsa05031	SLC6A3; CALML3; GRIA3; CAMK2B; GRIN2D; DDC	6531; 816; 2892; 2906; 1644; 810	69	69
0.00672276058178	0.0659928130579	Neurotransmitter release cycle	Reactome	R-HSA-112310	LIN7A; PPFIA4; SLC1A7; CHAT; TSPOAP1	1103; 8497; 9256; 8825; 6512	50	50
0.00722864028165	0.0681759995191	Acetylcholine Neurotransmitter Release Cycle	Reactome	R-HSA-264642	PPFIA4; CHAT; TSPOAP1	1103; 9256; 8497	17	17
0.00722864028165	0.0681759995191	Biosynthesis of DHA-derived SPMs	Reactome	R-HSA-9018677	CYP2C9; CYP1A1; CYP2E1	1571; 1543; 1559	17	17
0.00806017322082	0.0745566022926	Biosynthesis of maresin-like SPMs	Reactome	R-HSA-9027307	CYP2C9; CYP2E1	1571; 1559	6	6
0.0086901588569	0.0788672907579	Circadian entrainment - Homo sapiens (human)	KEGG	path:hsa04713	KCNJ6; CALML3; GRIA3; CAMK2B; GNB3; GNGT1; GRIN2D	3763; 2784; 2792; 810; 816; 2892; 2906	97	97
0.00994329274095	0.0885689594147	Biosynthesis of specialized proresolving mediators (SPMs)	Reactome	R-HSA-9018678	CYP2C9; CYP1A1; CYP2E1	1571; 1543; 1559	19	19
